,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
66,frozenset({'Online PvP'}),"frozenset({'PvP', 'Multi-player'})",0.08481152387509973,0.11849568838322568,0.08371859186639999,0.9871134020618556,8.330374003731194,1.0,0.07366879196198967,68.40473458146134,0.961503989037416,0.7000548345823433,0.9853811288631034,0.846812557883907
19,frozenset({'Remote Play Together'}),frozenset({'Multi-player'}),0.07229745237548772,0.18796244685618108,0.06743390493677388,0.9327286470143613,4.962313816482906,1.0,0.05384469888680899,12.071075087744635,0.8607081078176713,0.3497137674998583,0.9171573374590913,0.6457456469168794
83,"frozenset({'Single-player', 'Remote Play Together'})",frozenset({'Multi-player'}),0.06377258270762975,0.18796244685618108,0.05901832846978589,0.9254498714652957,4.923589189990706,1.0,0.04703147778172162,10.892503730101577,0.8511779500310003,0.30624397436624506,0.9081937427079794,0.6197199351511848
160,"frozenset({'Steam Cloud', 'Steam Trading Cards', 'Single-player'})",frozenset({'Steam Achievements'}),0.0569089696929954,0.4506705137873373,0.052952555821502344,0.9304782024198194,2.0646529425683573,1.0,0.0273053612108521,7.901543189804782,0.5467734082672477,0.11647474577493569,0.873442443333059,0.5239877370774979
119,"frozenset({'Steam Cloud', 'Steam Trading Cards'})",frozenset({'Steam Achievements'}),0.05787074986065117,0.4506705137873373,0.05382690142846214,0.9301227573182248,2.0638642397561684,1.0,0.027746260855503996,7.861350349989329,0.5471351260061217,0.11837519528902776,0.8727953906797503,0.5247800642417485
90,frozenset({'Shared/Split Screen'}),"frozenset({'Single-player', 'Multi-player'})",0.06748855153720887,0.1434910434221887,0.059062045750133886,0.8751417004048584,6.098929100612638,1.0,0.04937804307100763,6.8598479985317615,0.8965431901279588,0.38877697841726616,0.8542241751983378,0.6433747956666687
78,"frozenset({'Multi-player', 'Shared/Split Screen'})",frozenset({'Remote Play Together'}),0.06724810649529493,0.07229745237548772,0.05810026558247811,0.86396879570941,11.950196961606029,1.0,0.0532383988057928,6.819777509598115,0.9823827507065284,0.7133655394524958,0.8533676503973031,0.833798456811621
154,"frozenset({'Remote Play Together', 'Shared/Split Screen'})","frozenset({'Single-player', 'Multi-player'})",0.05820955878334809,0.1434910434221887,0.05085412636479884,0.8736387532857679,6.088454947778803,1.0,0.042501576037830995,6.778256616245797,0.8874104911220128,0.3371250543399507,0.8524694391765505,0.6140225147341323
26,frozenset({'Shared/Split Screen'}),frozenset({'Remote Play Together'}),0.06748855153720887,0.07229745237548772,0.05820955878334809,0.86251012145749,11.930020949810425,1.0,0.05333030844269608,6.747424301038123,0.9824842922584809,0.7135584137191856,0.8517952991564285,0.8338249775843761
149,"frozenset({'Single-player', 'Remote Play Together', 'Multi-player'})",frozenset({'Shared/Split Screen'}),0.05901832846978589,0.06748855153720887,0.05085412636479884,0.8616666666666667,12.767597570850203,1.0,0.046871064862225774,6.741046615393672,0.9794842527149161,0.6722045651545796,0.8516550830969738,0.8075944669365722
77,"frozenset({'Multi-player', 'Remote Play Together'})",frozenset({'Shared/Split Screen'}),0.06743390493677388,0.06748855153720887,0.05810026558247811,0.8615883306320907,12.766436840136747,1.0,0.0535492490137974,6.737231425076604,0.9883155875449735,0.7562953478446434,0.851571077656928,0.8612395094456
82,frozenset({'Shared/Split Screen'}),"frozenset({'Multi-player', 'Remote Play Together'})",0.06748855153720887,0.06743390493677388,0.05810026558247811,0.8608906882591093,12.766436840136747,1.0,0.0535492490137974,6.703836597224005,0.9883735043535073,0.7562953478446434,0.8508316863787984,0.8612395094456
150,"frozenset({'Single-player', 'Multi-player', 'Shared/Split Screen'})",frozenset({'Remote Play Together'}),0.059062045750133886,0.07229745237548772,0.05085412636479884,0.8610288675055514,11.90953262133869,1.0,0.046584090924979664,6.675505415929245,0.973532467847003,0.6316861254412163,0.850198608540744,0.7822151140248845
164,"frozenset({'Steam Cloud', 'Steam Trading Cards'})","frozenset({'Single-player', 'Steam Achievements'})",0.05787074986065117,0.4381345836475513,0.052952555821502344,0.9150141643059491,2.0884317249925517,1.0,0.027597378925934356,6.61128306574715,0.5531850345322524,0.11951748976269179,0.8487434299733786,0.5179366371320206
100,"frozenset({'Single-player', 'Shared/Split Screen'})",frozenset({'Remote Play Together'}),0.05929156147196083,0.07229745237548772,0.05095249024558182,0.8593548387096774,11.886377880184332,1.0,0.04666586140379443,6.5960502239357535,0.9735961156341768,0.6318785578747628,0.8483941198065474,0.7820583717357911
152,"frozenset({'Single-player', 'Shared/Split Screen'})","frozenset({'Multi-player', 'Remote Play Together'})",0.05929156147196083,0.06743390493677388,0.05085412636479884,0.8576958525345622,12.719059549328174,1.0,0.04685586484494575,6.553330396007771,0.9794510149460383,0.670267934312878,0.8474058319096515,0.805914376834542
124,"frozenset({'Steam Cloud', 'Full controller support', 'Single-player'})",frozenset({'Steam Achievements'}),0.08685530673136824,0.4506705137873373,0.07924849995081806,0.9124197810494528,2.024582823006712,1.0,0.040105374241035566,6.272300900764422,0.554206893273187,0.17292695142019032,0.8405688732378691,0.54413277157238
58,"frozenset({'Steam Cloud', 'Full controller support'})",frozenset({'Steam Achievements'}),0.08809031990119895,0.4506705137873373,0.08016656283812584,0.9100496277915633,2.0193236520927527,1.0,0.04046685310856161,6.107028494998707,0.5535467988252062,0.1748093422306959,0.8362542436441976,0.5439662471442356
129,"frozenset({'Steam Cloud', 'Full controller support'})","frozenset({'Single-player', 'Steam Achievements'})",0.08809031990119895,0.4381345836475513,0.07924849995081806,0.8996277915632754,2.0533138107330124,1.0,0.04065308431752666,5.5978186103841,0.5625363933902551,0.17729906839132453,0.8213589847043322,0.5402524310041482
108,"frozenset({'Steam Leaderboards', 'Single-player'})",frozenset({'Steam Achievements'}),0.07874575122681618,0.4506705137873373,0.0706799130026121,0.8975711311589174,1.9916349166399288,1.0,0.03519152483865301,5.363033805097879,0.540458778082105,0.15407523884401875,0.8135383746696802,0.527201959419643
33,frozenset({'Steam Leaderboards'}),frozenset({'Steam Achievements'}),0.08072395816256271,0.4506705137873373,0.07210072461392177,0.8931762794476035,1.9818831099943586,1.0,0.03572081691385211,5.142392376637165,0.5389342832766478,0.15698172472872643,0.8055379817877795,0.5265808643509389
25,frozenset({'Remote Play Together'}),frozenset({'Shared/Split Screen'}),0.07229745237548772,0.06748855153720887,0.05820955878334809,0.8051398337112623,11.930020949810425,1.0,0.05333030844269608,4.785541684702377,0.987577163404233,0.7135584137191856,0.7910372396929205,0.8338249775843761
81,frozenset({'Remote Play Together'}),"frozenset({'Multi-player', 'Shared/Split Screen'})",0.07229745237548772,0.06724810649529493,0.05810026558247811,0.8036281179138322,11.950196961606029,1.0,0.0532383988057928,4.749925924198324,0.9877297127341246,0.7133655394524958,0.7894704010213008,0.833798456811621
85,frozenset({'Remote Play Together'}),"frozenset({'Single-player', 'Multi-player'})",0.07229745237548772,0.1434910434221887,0.05901832846978589,0.8163265306122448,5.68904170701718,1.0,0.048644291591661164,4.66321543025697,0.8884566221342569,0.3764640267707752,0.7855556932858893,0.6138148762437414
99,"frozenset({'Single-player', 'Remote Play Together'})",frozenset({'Shared/Split Screen'}),0.06377258270762975,0.06748855153720887,0.05095249024558182,0.7989717223650386,11.838626021252459,1.0,0.04664857101085704,4.638707844655061,0.9778935345756107,0.6344583560152423,0.7844227242825289,0.7769757397250294
151,"frozenset({'Single-player', 'Remote Play Together'})","frozenset({'Multi-player', 'Shared/Split Screen'})",0.06377258270762975,0.06724810649529493,0.05085412636479884,0.7974293059125964,11.858018723075707,1.0,0.04656554093139616,4.604574702707238,0.9780410860424988,0.6343558282208588,0.7828246766390705,0.7768228928392821
110,frozenset({'Steam Leaderboards'}),"frozenset({'Single-player', 'Steam Achievements'})",0.08072395816256271,0.4381345836475513,0.0706799130026121,0.8755754129434064,1.9984165724925875,1.0,0.035311955202675334,4.515710517061135,0.5434753074505099,0.15770478211037137,0.7785509066132944,0.518447754366335
