,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
13,"frozenset({'Action', 'RPG'})",frozenset({'Adventure'}),0.07258369432531409,0.387429917142888,0.05062169840875455,0.6974252120851318,1.8001325690806538,1.0,0.022500603730373405,2.0245245384736528,0.4792727441758261,0.12365094862390162,0.5060568637246903,0.41404274211216213
17,"frozenset({'Casual', 'Action'})",frozenset({'Indie'}),0.13281984249586795,0.6967883416694574,0.11214337413172877,0.8443269621797479,1.2117409429623895,1.0,0.019596056338234427,1.9477467811776503,0.20150495438394678,0.15630505156967553,0.48658623920539706,0.5026351016849036
23,"frozenset({'Indie', 'RPG'})",frozenset({'Adventure'}),0.12822867266579524,0.387429917142888,0.08062094221607666,0.6287278854254423,1.6228170763425098,1.0,0.030941318189825102,1.6499221428440936,0.4402388462179788,0.1853194606540687,0.39391079492016173,0.4184097825521144
32,"frozenset({'Strategy', 'Casual'})",frozenset({'Indie'}),0.08577385517829943,0.6967883416694574,0.06830580431894047,0.7963476070528968,1.1428830814604363,1.0,0.008539582010657014,1.4888686253212795,0.13674938033719025,0.09563205178620045,0.32834906788084656,0.4471885474839064
27,"frozenset({'Simulation', 'Adventure'})",frozenset({'Indie'}),0.06631809785133252,0.6967883416694574,0.0525877993712798,0.792963023293696,1.1380256756216824,1.0,0.0063781219467770114,1.4645290090410703,0.12989991900960315,0.07401325792130391,0.3171866218923379,0.43421736070345174
22,"frozenset({'Casual', 'Adventure'})",frozenset({'Indie'}),0.14985578325357302,0.6967883416694574,0.11854940638874785,0.7910899653979239,1.1353375452616303,1.0,0.014131643685913076,1.4513982485718728,0.14021700619423888,0.1628214068457989,0.31100922783669716,0.4806134312501472
12,"frozenset({'Action', 'Adventure'})",frozenset({'Indie'}),0.18054640322354135,0.6967883416694574,0.14256392528816342,0.7896248429366362,1.1332348659059779,1.0,0.016761296391646863,1.441290229146291,0.14347412853269223,0.19402502315597572,0.3061772155408819,0.4971131609917363
19,"frozenset({'Early Access', 'Action'})",frozenset({'Indie'}),0.06891075846125592,0.6967883416694574,0.05439185904568484,0.7893086690703872,1.1327811070708467,1.0,0.006375645934281797,1.439127357507836,0.12589224540641553,0.07646746146252563,0.3051344658392716,0.4336847371646102
3,frozenset({'RPG'}),frozenset({'Adventure'}),0.1799414490812259,0.387429917142888,0.1027881904309218,0.5712313141622141,1.4744119875273811,1.0,0.03307348972281125,1.4286726225358324,0.39236651731653555,0.22124819792587083,0.30004958153041167,0.41826957187031066
25,"frozenset({'RPG', 'Adventure'})",frozenset({'Indie'}),0.1027881904309218,0.6967883416694574,0.08062094221607666,0.7843405149763532,1.1256510306948115,1.0,0.008999329462510267,1.4059741369469365,0.12441344066000641,0.11213619220771415,0.2887493633620506,0.4500220737390874
29,"frozenset({'Simulation', 'Casual'})",frozenset({'Indie'}),0.10024954358370512,0.6967883416694574,0.07834156142985232,0.7814655172413794,1.121524960318712,1.0,0.008488848203042437,1.3874774109011028,0.12042993966005576,0.10900509552225346,0.2792675454438238,0.44694894131553164
18,"frozenset({'Early Access', 'Indie'})",frozenset({'Action'}),0.09771089673648846,0.4105478075813717,0.05439185904568484,0.556661138750691,1.3558984568206693,1.0,0.014276864613709694,1.3295748330240629,0.2909063665114754,0.11984100537915934,0.24787986718615812,0.34457359642512975
28,"frozenset({'Simulation', 'Indie'})",frozenset({'Casual'}),0.13875055364106775,0.42463459689528893,0.07834156142985232,0.5646216132046091,1.3296646512856787,1.0,0.019423276015479357,1.3215295489050265,0.28787324464249603,0.1615144766146993,0.24330106668551965,0.37455665986372716
26,frozenset({'RPG'}),"frozenset({'Indie', 'Adventure'})",0.1799414490812259,0.29196599293499986,0.08062094221607666,0.44803986312060995,1.5345618118626463,1.0,0.02808415836491382,1.2827629384034922,0.4247845206266959,0.20604069462466526,0.22043273151889994,0.36208556962594307
21,"frozenset({'Action', 'RPG'})",frozenset({'Indie'}),0.07258369432531409,0.6967883416694574,0.05531009301169938,0.7620181574639083,1.0936149643924362,1.0,0.004734621010520981,1.2740957675565454,0.09230093595297047,0.07745839636913768,0.21512964294842996,0.4206983858744791
5,frozenset({'Casual'}),frozenset({'Indie'}),0.42463459689528893,0.6967883416694574,0.32141429636271324,0.7569197110003053,1.0862978981347151,1.0,0.02553385977656636,1.247372461083932,0.13807261014397848,0.40176353030139356,0.1983148328198398,0.6090996905414698
0,frozenset({'Early Access'}),frozenset({'Action'}),0.13068089749268114,0.4105478075813717,0.06891075846125592,0.5273208233446308,1.2844321991419096,1.0,0.015260002502869706,1.247044975811148,0.2547348426849389,0.1458990897031243,0.19810430305487275,0.34758578794849687
2,frozenset({'Adventure'}),frozenset({'Indie'}),0.387429917142888,0.6967883416694574,0.29196599293499986,0.753596921704216,1.0815291769931872,1.0,0.02200934345587169,1.2305514217909455,0.12306060208361626,0.36852654831056214,0.1873561865910493,0.5863068405671512
7,frozenset({'Early Access'}),frozenset({'Indie'}),0.13068089749268114,0.6967883416694574,0.09771089673648846,0.747706042820534,1.0730748465582551,1.0,0.006653970884686819,1.2018189485008435,0.0783355098231655,0.13389486773348333,0.16792791356185024,0.4439682134227939
1,frozenset({'Action'}),frozenset({'Indie'}),0.4105478075813717,0.6967883416694574,0.30690619969968347,0.7475528891695611,1.0728550471703866,1.0,0.020841273679027994,1.201089833562012,0.11520464969605537,0.3834266819623456,0.16742280880494165,0.5940055883189862
