,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
190,frozenset({'Pixel Graphics'}),frozenset({'Retro'}),0.1463627359675965,0.10109834878117285,0.05440004730438896,0.37167962832037166,3.676416408391312,1.0,0.03960301637497017,1.4306422196941981,0.8528165558992227,0.28177641653905056,0.3010132189348142,0.4548849962043443
191,frozenset({'Retro'}),frozenset({'Pixel Graphics'}),0.10109834878117285,0.1463627359675965,0.05440004730438896,0.538090364088317,3.676416408391312,1.0,0.03960301637497017,1.8480611740163366,0.809872793661303,0.28177641653905056,0.4588923710643574,0.4548849962043443
229,"frozenset({'2D', 'Action'})",frozenset({'Pixel Graphics'}),0.1193844516386536,0.1463627359675965,0.060209617573580496,0.5043338286280337,3.4457802752449846,1.0,0.042736182599755944,1.722201984592978,0.8060157130603877,0.29293728423475257,0.41934801553701717,0.4578532086277225
232,frozenset({'Pixel Graphics'}),"frozenset({'2D', 'Action'})",0.1463627359675965,0.1193844516386536,0.060209617573580496,0.41137258862741133,3.445780275244984,1.0,0.042736182599755944,1.4960491668369407,0.8314889696727107,0.29293728423475257,0.3315727703560204,0.4578532086277225
689,"frozenset({'2D', 'Indie'})","frozenset({'Pixel Graphics', 'Singleplayer'})",0.17938711251053263,0.10157139267077624,0.05880526852632046,0.3278121137206428,3.2274059171678537,1.0,0.04058466968143644,1.3365736361333984,0.8410221713370795,0.2647058823529411,0.2518182515608188,0.4533835710503956
692,"frozenset({'Pixel Graphics', 'Singleplayer'})","frozenset({'2D', 'Indie'})",0.10157139267077624,0.17938711251053263,0.05880526852632046,0.5789550283801485,3.2274059171678533,1.0,0.04058466968143644,1.9489910646180886,0.7681786029890738,0.2647058823529411,0.48691401507479287,0.4533835710503956
143,frozenset({'Colorful'}),frozenset({'Cute'}),0.1429922982541724,0.13011663488403033,0.05827309415051665,0.40752610358730484,3.1320061723892767,1.0,0.039667417487350136,1.4682222632641377,0.794293710312275,0.2712447533200303,0.3189042115620769,0.4276894321617506
142,frozenset({'Cute'}),frozenset({'Colorful'}),0.13011663488403033,0.1429922982541724,0.05827309415051665,0.44785276073619634,3.1320061723892767,1.0,0.039667417487350136,1.5521361709396657,0.7825368945814231,0.2712447533200303,0.35572663099874896,0.4276894321617506
0,frozenset({'2D'}),frozenset({'2D Platformer'}),0.27965763448489955,0.06341744644995344,0.054148742738037166,0.19362511893434825,3.0531837810144187,1.0,0.036413569678770394,1.161472877617816,0.9335464258200205,0.18741366078280888,0.1390242344263752,0.523735636390251
1,frozenset({'2D Platformer'}),frozenset({'2D'}),0.06341744644995344,0.27965763448489955,0.054148742738037166,0.8538461538461538,3.0531837810144182,1.0,0.036413569678770394,4.928658290366475,0.7180072254649648,0.18741366078280888,0.7971050251232483,0.523735636390251
333,frozenset({'Action-Adventure'}),"frozenset({'Action', 'Adventure'})",0.09320442887341641,0.2018862625097935,0.05726787588510947,0.6144329896907217,3.0434611154432343,1.0,0.03845118209049554,2.0699741319933165,0.7404389057367659,0.24080059671805068,0.5169021754696842,0.4490485223770296
332,"frozenset({'Action', 'Adventure'})",frozenset({'Action-Adventure'}),0.2018862625097935,0.09320442887341641,0.05726787588510947,0.2836640550633375,3.043461115443234,1.0,0.03845118209049554,1.2658803143080601,0.841266963432204,0.24080059671805068,0.21003590252795132,0.4490485223770296
691,"frozenset({'Pixel Graphics', 'Indie'})","frozenset({'2D', 'Singleplayer'})",0.0947418215146274,0.21094800952000828,0.05880526852632046,0.6206896551724138,2.9423821375927313,1.0,0.038819669859509916,2.0802279749017965,0.729227676352011,0.23818932998024073,0.5192834573589425,0.44972814924002613
690,"frozenset({'2D', 'Singleplayer'})","frozenset({'Pixel Graphics', 'Indie'})",0.21094800952000828,0.0947418215146274,0.05880526852632046,0.2787666433076384,2.9423821375927313,1.0,0.038819669859509916,1.2551529544292912,0.8366233479671852,0.23818932998024073,0.203284351543679,0.44972814924002613
694,frozenset({'2D'}),"frozenset({'Pixel Graphics', 'Indie', 'Singleplayer'})",0.27965763448489955,0.07273049802652003,0.05880526852632046,0.21027592768791628,2.891165788679771,1.0,0.03846562949331521,1.1741689717760573,0.908066489066087,0.20030211480362536,0.14833382244176307,0.509406256526885
687,"frozenset({'Pixel Graphics', 'Indie', 'Singleplayer'})",frozenset({'2D'}),0.07273049802652003,0.27965763448489955,0.05880526852632046,0.8085365853658536,2.8911657886797704,1.0,0.03846562949331521,3.7622977052381033,0.7054246488067555,0.20030211480362536,0.7342049783546533,0.509406256526885
37,frozenset({'3D'}),frozenset({'First-Person'}),0.16711753662394488,0.12538619598799652,0.05935222552367437,0.3551525873507298,2.8324695916664484,1.0,0.03839799332351323,1.3563112557415224,0.7767616981383884,0.2545650519908699,0.2627061113245131,0.41425396403612885
36,frozenset({'First-Person'}),frozenset({'3D'}),0.12538619598799652,0.16711753662394488,0.05935222552367437,0.4733553407215279,2.8324695916664484,1.0,0.03839799332351323,1.5814884831779041,0.7396992748502168,0.2545650519908699,0.36768429828172944,0.41425396403612885
301,frozenset({'2D'}),"frozenset({'Pixel Graphics', 'Singleplayer'})",0.27965763448489955,0.10157139267077624,0.08025485239552382,0.2869753673749868,2.8253562329814774,1.0,0.05184963698987768,1.2600246418158692,0.8968823182480454,0.26665029469548135,0.2063647274716291,0.5385539040338767
