,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
200,"frozenset({'Shooter', 'Indie'})",frozenset({'Action'}),0.05429656895353822,0.44766212840185077,0.05066004405221222,0.9330247753879664,2.0842164574404705,1.0,0.026353526429553454,8.24689838365856,0.5500703164453965,0.11225392249991813,0.87874229152847,0.523095288991741
37,frozenset({'Shooter'}),frozenset({'Action'}),0.10424704717134536,0.44766212840185077,0.09713660620574453,0.9317923993193421,2.0814635418140717,1.0,0.05046915118941193,8.097893285883893,0.5800358362235685,0.21359381094786115,0.8765110918733415,0.5743894136741347
206,"frozenset({'Shooter', 'Singleplayer'})",frozenset({'Action'}),0.06693571037887859,0.44766212840185077,0.06226440196904519,0.9302120141342756,2.077933233832227,1.0,0.03229981939474655,7.9145122866975255,0.555966603247665,0.13765155724043268,0.8736498265748136,0.5346499756303581
1,frozenset({'2D Platformer'}),frozenset({'2D'}),0.06341744644995344,0.27965763448489955,0.054148742738037166,0.8538461538461538,3.0531837810144182,1.0,0.036413569678770394,4.928658290366475,0.7180072254649648,0.18741366078280888,0.7971050251232483,0.523735636390251
167,"frozenset({'Indie', '3D'})",frozenset({'Singleplayer'}),0.07947137345336822,0.531331766375449,0.07094180081895723,0.892671130952381,1.6800635449332477,1.0,0.028716135585696134,4.366655847427363,0.4397303970131643,0.13140744797371307,0.7709917990012529,0.5130940441785804
28,frozenset({'FPS'}),frozenset({'Action'}),0.0633139680991027,0.44766212840185077,0.055227874111194876,0.8722857809946298,1.9485360177969067,1.0,0.026884608394383683,4.324795437029016,0.5196983579933188,0.12118066818034383,0.768775190743596,0.4978276641326879
338,"frozenset({'Pixel Graphics', 'Indie', 'Singleplayer'})",frozenset({'2D'}),0.07273049802652003,0.27965763448489955,0.05880526852632046,0.8085365853658536,2.8911657886797704,1.0,0.03846562949331521,3.7622977052381033,0.7054246488067555,0.20030211480362536,0.7342049783546533,0.509406256526885
325,"frozenset({'2D', 'Indie', 'Casual'})",frozenset({'Singleplayer'}),0.09477138675772762,0.531331766375449,0.08269398495129127,0.8725627827172049,1.6422183613630126,1.0,0.032338936623457014,3.677640202897183,0.4320097430192241,0.15217627856365618,0.728086505250781,0.5140990470912903
155,"frozenset({'Pixel Graphics', 'Singleplayer'})",frozenset({'2D'}),0.10157139267077624,0.27965763448489955,0.08025485239552382,0.7901324406927667,2.8253562329814774,1.0,0.05184963698987768,3.4323664309668893,0.7191025813793109,0.26665029469548135,0.7086558151315149,0.5385539040338767
286,"frozenset({'Relaxing', 'Singleplayer'})",frozenset({'Casual'}),0.07208006267831538,0.4287847206823658,0.06001744349342913,0.8326497128794094,1.9418828906830796,1.0,0.02911061395114025,3.413291301412726,0.5227130786525389,0.13614110388303938,0.7070276423268913,0.486310376676897
